import time: self [us] | cumulative | imported package
import time:     16927 |      35953 |           rich.cells
import time:     18102 |      54055 |         rich._wrap
import time:     17155 |      17155 |               rich.segment
import time:     20685 |      37839 |             rich.jupyter
import time:     20299 |      20299 |               rich.protocol
import time:     32437 |      52736 |             rich.measure
import time:     19136 |     109711 |           rich.constrain
import time:     23475 |     133185 |         rich.align
import time:     27345 |      27345 |         rich.containers
import time:     25566 |      25566 |         rich.control
import time:     19911 |      19911 |         rich.emoji
import time:     21652 |     320753 |       rich.text
import time:     27043 |     347796 |     rich._log_render
import time:     21462 |      21462 |     rich.highlighter
import time:     19473 |      19473 |     rich.markup
import time:     19533 |      19533 |     rich.pager
import time:     29568 |      29568 |       rich.abc
import time:     21298 |      50866 |     rich.pretty
import time:     19502 |      19502 |     rich.region
import time:     19090 |      19090 |         rich.box
import time:     18558 |      18558 |         rich.padding
import time:     19940 |      57587 |       rich.panel
import time:     17321 |      17321 |         rich._ratio
import time:     22589 |      39910 |       rich.table
import time:     28204 |     125699 |     rich.scope
import time:     18405 |      18405 |     rich.screen
import time:     20747 |      20747 |     rich.styled
import time:     25196 |    1036980 |   rich.console
import time:     18885 |      18885 |   endo_pipeline.cli.options
import time:     32164 |    1088029 | endo_pipeline.__main__
import time:     18312 |      18312 |       numpy._utils._convertions
import time:     25277 |      43589 |     numpy._utils
import time:     22728 |      66316 |   numpy._globals
import time:     20048 |      20048 |   numpy.exceptions
import time:     34834 |      34834 |   numpy.version
import time:        62 |         62 |     numpy._distributor_init_local
import time:     17511 |      17572 |   numpy._distributor_init
import time:     21063 |      21063 |             numpy._utils._inspect
import time:     19427 |      19427 |               numpy.core._exceptions
import time:     19869 |      19869 |               numpy.dtypes
import time:     55430 |      94725 |             numpy.core._multiarray_umath
import time:     19214 |     135000 |           numpy.core.overrides
import time:     21025 |     156025 |         numpy.core.multiarray
import time:     19317 |      19317 |         numpy.core.umath
import time:     19289 |      19289 |           numpy.core._string_helpers
import time:        98 |         98 |                 pickle5
import time:       242 |        242 |                   _compat_pickle
import time:       157 |        157 |                   _pickle
import time:        73 |         73 |                       org
import time:        13 |         85 |                     org.python
import time:        12 |         97 |                   org.python.core
import time:       798 |       1293 |                 pickle
import time:     23365 |      24755 |               numpy.compat.py3k
import time:     27470 |      52225 |             numpy.compat
import time:     21525 |      21525 |             numpy.core._dtype
import time:     21279 |      95027 |           numpy.core._type_aliases
import time:     19592 |     133907 |         numpy.core.numerictypes
import time:     21091 |      21091 |                 numpy.core._ufunc_config
import time:     20689 |      41780 |               numpy.core._methods
import time:     18476 |      60255 |             numpy.core.fromnumeric
import time:     17805 |      78060 |           numpy.core.shape_base
import time:     20384 |      20384 |           numpy.core.arrayprint
import time:     20157 |      20157 |           numpy.core._asarray
import time:     19334 |     137933 |         numpy.core.numeric
import time:     20218 |      20218 |         numpy.core.defchararray
import time:     16829 |      16829 |         numpy.core.records
import time:     17349 |      17349 |         numpy.core.memmap
import time:     19189 |      19189 |         numpy.core.function_base
import time:     20067 |      20067 |         numpy.core._machar
import time:     18743 |      18743 |         numpy.core.getlimits
import time:     22186 |      22186 |         numpy.core.einsumfunc
import time:     10830 |      10830 |           numpy.core._multiarray_tests
import time:     21660 |      32490 |         numpy.core._add_newdocs
import time:     18465 |      18465 |         numpy.core._add_newdocs_scalars
import time:     17313 |      17313 |         numpy.core._dtype_ctypes
import time:       177 |        177 |             _ctypes
import time:       233 |        233 |             ctypes._endian
import time:       753 |       1163 |           ctypes
import time:     17496 |      18658 |         numpy.core._internal
import time:     17503 |      17503 |         numpy._pytesttester
import time:     27274 |     713460 |       numpy.core
import time:        28 |     713488 |     numpy.core._multiarray_umath
import time:     17068 |     730556 |   numpy.__config__
import time:     21470 |      21470 |     numpy.lib.mixins
import time:     17145 |      17145 |         numpy.lib.ufunclike
import time:     18743 |      35888 |       numpy.lib.type_check
import time:     18649 |      54536 |     numpy.lib.scimath
import time:     17962 |      17962 |                 numpy.lib.stride_tricks
import time:     18768 |      36729 |               numpy.lib.twodim_base
import time:      8653 |       8653 |               numpy.linalg._umath_linalg
import time:     20095 |      20095 |                 numpy._typing._nested_sequence
import time:     17622 |      17622 |                 numpy._typing._nbit
import time:     16769 |      16769 |                 numpy._typing._char_codes
import time:     19426 |      19426 |                 numpy._typing._scalars
import time:     18021 |      18021 |                 numpy._typing._shape
import time:     24041 |      24041 |                 numpy._typing._dtype_like
import time:     25214 |      25214 |                 numpy._typing._array_like
import time:     26390 |     167575 |               numpy._typing
import time:     21331 |     234287 |             numpy.linalg.linalg
import time:     23710 |     257997 |           numpy.linalg
import time:     18990 |     276987 |         numpy.matrixlib.defmatrix
import time:     26473 |     303459 |       numpy.matrixlib
import time:     21538 |      21538 |         numpy.lib.histograms
import time:     23178 |      44715 |       numpy.lib.function_base
import time:     17855 |     366028 |     numpy.lib.index_tricks
import time:     20595 |      20595 |     numpy.lib.nanfunctions
import time:     19802 |      19802 |     numpy.lib.shape_base
import time:     21188 |      21188 |     numpy.lib.polynomial
import time:     20908 |      20908 |     numpy.lib.utils
import time:     20290 |      20290 |     numpy.lib.arraysetops
import time:     18163 |      18163 |       numpy.lib.format
import time:     22824 |      22824 |       numpy.lib._datasource
import time:     23735 |      23735 |       numpy.lib._iotools
import time:     32591 |      97313 |     numpy.lib.npyio
import time:     19502 |      19502 |     numpy.lib.arrayterator
import time:     16001 |      16001 |     numpy.lib.arraypad
import time:     20777 |      20777 |     numpy.lib._version
import time:     26875 |     725279 |   numpy.lib
import time:      7778 |       7778 |       numpy.fft._pocketfft_internal
import time:     20847 |      28624 |     numpy.fft._pocketfft
import time:     19434 |      19434 |     numpy.fft.helper
import time:     24811 |      72868 |   numpy.fft
import time:     18073 |      18073 |       numpy.polynomial.polyutils
import time:     19537 |      19537 |       numpy.polynomial._polybase
import time:     22576 |      60185 |     numpy.polynomial.polynomial
import time:     16879 |      16879 |     numpy.polynomial.chebyshev
import time:     18679 |      18679 |     numpy.polynomial.legendre
import time:     22394 |      22394 |     numpy.polynomial.hermite
import time:     18842 |      18842 |     numpy.polynomial.hermite_e
import time:     16952 |      16952 |     numpy.polynomial.laguerre
import time:     26231 |     180159 |   numpy.polynomial
import time:       142 |        142 |             backports_abc
import time:     11116 |      11257 |           numpy.random._common
import time:       237 |        237 |             hmac
import time:       242 |        479 |           secrets
import time:     19179 |      30914 |         numpy.random.bit_generator
import time:     10367 |      10367 |         numpy.random._bounded_integers
import time:      8843 |       8843 |         numpy.random._mt19937
import time:     11710 |      61832 |       numpy.random.mtrand
import time:      9233 |       9233 |       numpy.random._philox
import time:      8436 |       8436 |       numpy.random._pcg64
import time:     11541 |      11541 |       numpy.random._sfc64
import time:      9115 |       9115 |       numpy.random._generator
import time:     27699 |     127853 |     numpy.random._pickle
import time:     33388 |     161241 |   numpy.random
import time:     15705 |      15705 |   numpy.ctypeslib
import time:     48005 |      48005 |     numpy.ma.core
import time:     20581 |      20581 |     numpy.ma.extras
import time:     24752 |      93337 |   numpy.ma
import time:     27690 |    2145597 | numpy
import time:     23080 |      23080 |         pytz.exceptions
import time:     19486 |      19486 |         pytz.lazy
import time:     18281 |      18281 |         pytz.tzinfo
import time:     24963 |      24963 |         pytz.tzfile
import time:     28276 |     114085 |       pytz
import time:     21260 |      21260 |         dateutil._version
import time:     24427 |      45687 |       dateutil
import time:     24052 |      24052 |         pandas.compat._constants
import time:     20086 |      20086 |         pandas.compat.compressors
import time:     27053 |      27053 |             pandas.util
import time:     32077 |      59130 |           pandas.util.version
import time:     26878 |      86008 |         pandas.compat.numpy
import time:       114 |        114 |             gc
import time:     22490 |      22490 |             pyarrow._generated_version
import time:       103 |        103 |               backports_abc
import time:     26622 |      26622 |                 numpy._core
import time:     17991 |      44612 |               numpy._core._multiarray_umath
import time:     18270 |      18270 |                 cloudpickle.cloudpickle
import time:     27367 |      45636 |               cloudpickle
import time:     22863 |      22863 |               pyarrow.util
import time:        58 |         58 |                 _queue
import time:       260 |        317 |               queue
import time:     73888 |     187418 |             pyarrow.lib
import time:     16725 |      16725 |             pyarrow.ipc
import time:     21982 |      21982 |             pyarrow.types
import time:     25705 |     274432 |           pyarrow
import time:     19054 |     293485 |         pandas.compat.pyarrow
import time:     29516 |     453144 |       pandas.compat
import time:     20708 |      20708 |           pandas._typing
import time:     18316 |      18316 |           pandas.util._exceptions
import time:     24109 |      63132 |         pandas._config.config
import time:     17351 |      17351 |         pandas._config.dates
import time:     20476 |      20476 |         pandas._config.display
import time:     27251 |     128208 |       pandas._config
import time:     23332 |      23332 |         pandas.core
import time:     20378 |      43709 |       pandas.core.config_init
import time:     12496 |      12496 |           pandas._libs.pandas_parser
import time:     10401 |      10401 |           pandas._libs.pandas_datetime
import time:     11327 |      11327 |                       pandas._libs.tslibs.ccalendar
import time:     10830 |      10830 |                       pandas._libs.tslibs.np_datetime
import time:     13464 |      35620 |                     pandas._libs.tslibs.dtypes
import time:     15941 |      15941 |                       pandas._libs.tslibs.base
import time:      8359 |       8359 |                           pandas._libs.tslibs.nattype
import time:     18477 |      18477 |                               pandas.compat._optional
import time:     24456 |      24456 |                                   six
import time:        77 |         77 |                                   six.moves
import time:     17965 |      17965 |                                   dateutil.tz._common
import time:     16530 |      16530 |                                   dateutil.tz._factories
import time:        32 |         32 |                                     six.moves.winreg
import time:     17504 |      17535 |                                   dateutil.tz.win
import time:     32464 |     109024 |                                 dateutil.tz.tz
import time:     22471 |     131494 |                               dateutil.tz
import time:      9325 |     159296 |                             pandas._libs.tslibs.timezones
import time:      1132 |       1132 |                               _strptime
import time:     19666 |      19666 |                               pandas._config.localization
import time:     10448 |      31245 |                             pandas._libs.tslibs.fields
import time:      9947 |     200487 |                           pandas._libs.tslibs.timedeltas
import time:      9856 |       9856 |                           pandas._libs.tslibs.tzconversion
import time:       172 |        172 |                           backports_abc
import time:     10976 |     229848 |                         pandas._libs.tslibs.timestamps
import time:        79 |         79 |                         backports_abc
import time:      8724 |       8724 |                         pandas._libs.properties
import time:     12120 |     250769 |                       pandas._libs.tslibs.offsets
import time:       107 |        107 |                         backports_abc
import time:     18701 |      18701 |                             dateutil._common
